ایستگاه,تاریخ,SO2 ppb
شریف.منطقه2,1399/04/19,4
شریف.منطقه2,1399/04/20,4
شریف.منطقه2,1399/04/21,6
شریف.منطقه2,1399/04/22,6
شریف.منطقه2,1399/04/23,4
شریف.منطقه2,1399/04/24,5
شریف.منطقه2,1399/04/25,4
شریف.منطقه2,1399/04/26,5
شریف.منطقه2,1399/04/27,6
شریف.منطقه2,1399/04/28,7
شریف.منطقه2,1399/04/29,6
شریف.منطقه2,1399/04/30,6
شریف.منطقه2,1399/04/31,7
شریف.منطقه2,1399/05/01,5
شریف.منطقه2,1399/05/02,6
شریف.منطقه2,1399/05/03,5
شریف.منطقه2,1399/05/04,4
شریف.منطقه2,1399/05/05,5
شریف.منطقه2,1399/05/06,6
شریف.منطقه2,1399/05/07,7
شریف.منطقه2,1399/05/08,6
شریف.منطقه2,1399/05/09,5
شریف.منطقه2,1399/05/10,4
شریف.منطقه2,1399/05/11,4
شریف.منطقه2,1399/05/12,6
شریف.منطقه2,1399/05/13,5
شریف.منطقه2,1399/05/14,4
شریف.منطقه2,1399/05/15,5
شریف.منطقه2,1399/05/16,4
شریف.منطقه2,1399/05/17,5
شریف.منطقه2,1399/05/18,5
شریف.منطقه2,1399/05/19,6
شریف.منطقه2,1399/05/20,6
شریف.منطقه2,1399/05/21,7
شریف.منطقه2,1399/05/22,7
شریف.منطقه2,1399/05/23,7
شریف.منطقه2,1399/05/24,8
شریف.منطقه2,1399/05/25,6
شریف.منطقه2,1399/05/26,5
شریف.منطقه2,1399/05/27,7
شریف.منطقه2,1399/05/28,7
شریف.منطقه2,1399/05/29,7
شریف.منطقه2,1399/05/30,10
شریف.منطقه2,1399/05/31,6
شریف.منطقه2,1399/06/01,7
شریف.منطقه2,1399/06/02,5
شریف.منطقه2,1399/06/03,5
شریف.منطقه2,1399/06/04,6
شریف.منطقه2,1399/06/05,11
شریف.منطقه2,1399/06/06,14
شریف.منطقه2,1399/06/07,13
شریف.منطقه2,1399/06/08,11
شریف.منطقه2,1399/06/09,8
شریف.منطقه2,1399/06/10,11
شریف.منطقه2,1399/06/11,13
شریف.منطقه2,1399/06/12,12
شریف.منطقه2,1399/06/13,9
شریف.منطقه2,1399/06/15,8
شریف.منطقه2,1399/06/16,8
شریف.منطقه2,1399/06/17,6
شریف.منطقه2,1399/06/18,6
شریف.منطقه2,1399/06/19,7
شریف.منطقه2,1399/06/20,7
شریف.منطقه2,1399/06/21,6
شریف.منطقه2,1399/06/22,6
شریف.منطقه2,1399/06/23,6
شریف.منطقه2,1399/06/24,5
شریف.منطقه2,1399/06/25,8
شریف.منطقه2,1399/06/26,8
شریف.منطقه2,1399/06/27,9
شریف.منطقه2,1399/06/28,9
شریف.منطقه2,1399/06/29,12
شریف.منطقه2,1399/06/30,8
شریف.منطقه2,1399/06/31,9
شریف.منطقه2,1399/07/01,6
شریف.منطقه2,1399/07/02,8
شریف.منطقه2,1399/07/03,6
شریف.منطقه2,1399/07/04,9
شریف.منطقه2,1399/07/05,8
شریف.منطقه2,1399/07/06,8
شریف.منطقه2,1399/07/07,4
شریف.منطقه2,1399/07/08,7
شریف.منطقه2,1399/07/09,7
شریف.منطقه2,1399/07/10,6
شریف.منطقه2,1399/07/11,8
شریف.منطقه2,1399/07/12,6
شریف.منطقه2,1399/07/13,5
شریف.منطقه2,1399/07/14,4
شریف.منطقه2,1399/07/15,6
شریف.منطقه2,1399/07/16,6
شریف.منطقه2,1399/07/17,6
شریف.منطقه2,1399/07/18,3
شریف.منطقه2,1399/07/19,6
شریف.منطقه2,1399/07/20,6
شریف.منطقه2,1399/07/21,9
شریف.منطقه2,1399/07/22,10
شریف.منطقه2,1399/07/23,10
شریف.منطقه2,1399/07/24,9
شریف.منطقه2,1399/07/25,10
شریف.منطقه2,1399/07/26,7
شریف.منطقه2,1399/07/27,11
شریف.منطقه2,1399/07/28,10
شریف.منطقه2,1399/07/29,11
شریف.منطقه2,1399/07/30,9
شریف.منطقه2,1399/08/01,6
شریف.منطقه2,1399/08/02,8
شریف.منطقه2,1399/08/03,7
شریف.منطقه2,1399/08/04,8
شریف.منطقه2,1399/08/05,10
شریف.منطقه2,1399/08/06,8
شریف.منطقه2,1399/08/07,11
شریف.منطقه2,1399/08/08,7
شریف.منطقه2,1399/08/09,8
شریف.منطقه2,1399/08/10,10
شریف.منطقه2,1399/08/11,12
شریف.منطقه2,1399/08/12,11
شریف.منطقه2,1399/08/13,12
شریف.منطقه2,1399/08/14,12
شریف.منطقه2,1399/08/15,9
شریف.منطقه2,1399/08/16,8
شریف.منطقه2,1399/08/17,8
شریف.منطقه2,1399/08/18,4
شریف.منطقه2,1399/08/19,8
شریف.منطقه2,1399/08/20,7
شریف.منطقه2,1399/08/21,6
شریف.منطقه2,1399/08/22,7
شریف.منطقه2,1399/08/23,4
شریف.منطقه2,1399/08/24,6
شریف.منطقه2,1399/08/25,5
شریف.منطقه2,1399/08/26,7
شریف.منطقه2,1399/08/27,7
شریف.منطقه2,1399/08/28,9
شریف.منطقه2,1399/08/29,7
شریف.منطقه2,1399/08/30,6
شریف.منطقه2,1399/09/01,5
شریف.منطقه2,1399/09/02,4
شریف.منطقه2,1399/09/03,18
شریف.منطقه2,1399/09/04,10
شریف.منطقه2,1399/09/05,6
شریف.منطقه2,1399/09/06,18
شریف.منطقه2,1399/09/07,5
