ایستگاه,تاریخ,SO2 ppb
پونک,1399/08/26,5
پونک,1399/08/27,5
پونک,1399/08/28,5
پونک,1399/08/29,4
پونک,1399/08/30,7
پونک,1399/09/01,3
پونک,1399/09/02,3
پونک,1399/09/03,6
پونک,1399/09/04,6
پونک,1399/09/05,4
پونک,1399/09/06,11
پونک,1399/09/07,4
پونک,1399/09/08,7
پونک,1399/09/09,3
پونک,1399/09/10,5
پونک,1399/09/11,5
پونک,1399/09/12,6
پونک,1399/09/13,5
پونک,1399/09/14,5
پونک,1399/09/15,6
پونک,1399/09/16,5
پونک,1399/09/17,3
پونک,1399/09/18,5
پونک,1399/09/19,5
پونک,1399/09/20,9
پونک,1399/09/21,7
پونک,1399/09/22,7
پونک,1399/09/23,10
پونک,1399/09/24,7
پونک,1399/09/25,11
پونک,1399/09/26,8
پونک,1399/09/27,7
پونک,1399/09/28,9
پونک,1399/09/29,4
پونک,1399/09/30,5
پونک,1399/10/01,4
پونک,1399/10/02,10
پونک,1399/10/03,15
پونک,1399/10/04,4
پونک,1399/10/05,3
پونک,1399/10/06,5
پونک,1399/10/07,12
پونک,1399/10/08,7
پونک,1399/10/09,8
پونک,1399/10/10,7
پونک,1399/10/11,8
پونک,1399/10/12,9
پونک,1399/10/13,15
پونک,1399/10/14,9
پونک,1399/10/15,7
پونک,1399/10/16,7
پونک,1399/10/17,8
پونک,1399/10/18,9
پونک,1399/10/19,9
پونک,1399/10/20,7
پونک,1399/10/21,6
پونک,1399/10/22,6
پونک,1399/10/23,5
پونک,1399/10/24,
پونک,1399/10/25,3
پونک,1399/10/26,4
پونک,1399/10/27,3
پونک,1399/10/28,3
پونک,1399/10/29,3
پونک,1399/10/30,3
پونک,1399/11/01,4
پونک,1399/11/02,4
پونک,1399/11/03,3
پونک,1399/11/04,4
پونک,1399/11/05,4
پونک,1399/11/06,6
پونک,1399/11/07,7
پونک,1399/11/08,6
پونک,1399/11/09,10
پونک,1399/11/10,10
پونک,1399/11/11,3
پونک,1399/11/12,5
پونک,1399/11/13,5
پونک,1399/11/14,5
پونک,1399/11/15,7
پونک,1399/11/16,5
پونک,1399/11/17,4
پونک,1399/11/18,3
پونک,1399/11/19,3
پونک,1399/11/20,4
پونک,1399/11/21,4
پونک,1399/11/22,5
پونک,1399/11/23,4
پونک,1399/11/24,4
پونک,1399/11/25,3
پونک,1399/11/26,4
پونک,1399/11/27,3
پونک,1399/11/28,5
پونک,1399/11/29,4
پونک,1399/11/30,3
پونک,1399/12/01,3
پونک,1399/12/02,3
پونک,1399/12/03,3
پونک,1399/12/04,3
پونک,1399/12/05,4
پونک,1399/12/06,4
پونک,1399/12/07,3
پونک,1399/12/08,3
پونک,1399/12/09,4
پونک,1399/12/10,4
پونک,1399/12/11,5
پونک,1399/12/12,3
پونک,1399/12/13,3
پونک,1399/12/14,4
پونک,1399/12/15,3
پونک,1399/12/16,4
پونک,1399/12/17,5
پونک,1399/12/18,5
پونک,1399/12/19,3
پونک,1399/12/20,5
پونک,1399/12/21,4
پونک,1399/12/22,2
پونک,1399/12/23,3
پونک,1399/12/24,4
پونک,1399/12/25,7
پونک,1399/12/26,6
پونک,1399/12/27,3
پونک,1399/12/28,3
پونک,1399/12/29,2
پونک,1399/12/30,3
پونک,1400/01/01,3
پونک,1400/01/02,3
پونک,1400/01/03,3
پونک,1400/01/04,3
پونک,1400/01/05,3
پونک,1400/01/06,2
پونک,1400/01/07,3
پونک,1400/01/08,3
پونک,1400/01/09,3
پونک,1400/01/10,3
پونک,1400/01/11,3
پونک,1400/01/12,5
پونک,1400/01/13,3
پونک,1400/01/14,4
پونک,1400/01/15,2
پونک,1400/01/16,4
پونک,1400/01/17,3
پونک,1400/01/18,4
پونک,1400/01/19,3
پونک,1400/01/20,3
پونک,1400/01/21,3
پونک,1400/01/22,3
پونک,1400/01/23,3
پونک,1400/01/24,3
پونک,1400/01/25,3
پونک,1400/01/26,3
پونک,1400/01/27,3
پونک,1400/01/28,4
پونک,1400/01/29,3
پونک,1400/01/30,3
پونک,1400/01/31,3
پونک,1400/02/01,3
پونک,1400/02/02,3
پونک,1400/02/03,3
پونک,1400/02/04,3
پونک,1400/02/05,3
پونک,1400/02/06,3
پونک,1400/02/07,3
پونک,1400/02/08,3
پونک,1400/02/09,3
پونک,1400/02/10,3
پونک,1400/02/11,3
پونک,1400/02/12,2
پونک,1400/02/13,3
پونک,1400/02/14,3
پونک,1400/02/15,3
